FREQ,FREQ_LABEL,REF_AREA,REF_AREA_LABEL,INDICATOR,INDICATOR_LABEL,SEX,SEX_LABEL,UNIT_MEASURE,UNIT_MEASURE_LABEL,DATABASE_ID,DATABASE_ID_LABEL,UNIT_MULT,UNIT_MULT_LABEL,2010,2018,2020
A,Annual,ARG,Argentina,WB_HCI_EYRS,Expected Years of School,F,Female,YR,Years,WB_HCI,Human Capital Index (HCI),0,Units,12.92204571,13.06125259,13.06125259
A,Annual,ARG,Argentina,WB_HCI_EYRS,Expected Years of School,M,Male,YR,Years,WB_HCI,Human Capital Index (HCI),0,Units,12.26738548,12.70367813,12.70367813
A,Annual,ARG,Argentina,WB_HCI_EYRS,Expected Years of School,_T,Total,YR,Years,WB_HCI,Human Capital Index (HCI),0,Units,12.58978558,12.87952328,12.87952328
A,Annual,ARG,Argentina,WB_HCI_HCI,Human Capital Index (scale 0-1),F,Female,IX_0T1,Score 0-1,WB_HCI,Human Capital Index (HCI),0,Units,0.612291396,0.627702117,0.613279402
A,Annual,ARG,Argentina,WB_HCI_HCI,Human Capital Index (scale 0-1),M,Male,IX_0T1,Score 0-1,WB_HCI,Human Capital Index (HCI),0,Units,0.565431118,0.607066631,0.591290057
A,Annual,ARG,Argentina,WB_HCI_HCI,Human Capital Index (scale 0-1),_T,Total,IX_0T1,Score 0-1,WB_HCI,Human Capital Index (HCI),0,Units,0.588557065,0.617366731,0.602144718
A,Annual,ARG,Argentina,WB_HCI_HCI_LOWER,"Human Capital Index, Lower Bound (scale 0-1)",F,Female,IX_0T1,Score 0-1,WB_HCI,Human Capital Index (HCI),0,Units,0.60025239,0.616489708,0.602137566
A,Annual,ARG,Argentina,WB_HCI_HCI_LOWER,"Human Capital Index, Lower Bound (scale 0-1)",M,Male,IX_0T1,Score 0-1,WB_HCI,Human Capital Index (HCI),0,Units,0.55413413,0.593780279,0.578204155
A,Annual,ARG,Argentina,WB_HCI_HCI_LOWER,"Human Capital Index, Lower Bound (scale 0-1)",_T,Total,IX_0T1,Score 0-1,WB_HCI,Human Capital Index (HCI),0,Units,0.577700257,0.60722822,0.591666937
A,Annual,ARG,Argentina,WB_HCI_HCI_UPPER,"Human Capital Index, Upper Bound (scale 0-1)",F,Female,IX_0T1,Score 0-1,WB_HCI,Human Capital Index (HCI),0,Units,0.624944806,0.639261425,0.624488056
A,Annual,ARG,Argentina,WB_HCI_HCI_UPPER,"Human Capital Index, Upper Bound (scale 0-1)",M,Male,IX_0T1,Score 0-1,WB_HCI,Human Capital Index (HCI),0,Units,0.576892853,0.619519353,0.604211807
A,Annual,ARG,Argentina,WB_HCI_HCI_UPPER,"Human Capital Index, Upper Bound (scale 0-1)",_T,Total,IX_0T1,Score 0-1,WB_HCI,Human Capital Index (HCI),0,Units,0.599327922,0.627047122,0.611715615
A,Annual,ARG,Argentina,WB_HCI_LAYS,Learning-Adjusted Years of School,F,Female,YR,Years,WB_HCI,Human Capital Index (HCI),0,Units,8.563321114,8.796667099,8.494050026
A,Annual,ARG,Argentina,WB_HCI_LAYS,Learning-Adjusted Years of School,M,Male,YR,Years,WB_HCI,Human Capital Index (HCI),0,Units,7.908724785,8.681368828,8.33244133
A,Annual,ARG,Argentina,WB_HCI_LAYS,Learning-Adjusted Years of School,_T,Total,YR,Years,WB_HCI,Human Capital Index (HCI),0,Units,8.2382164,8.739133835,8.411310196
A,Annual,ARG,Argentina,WB_HCI_NOSTU,Fraction of Children Under 5 Not Stunted,F,Female,U,Unitless,WB_HCI,Human Capital Index (HCI),0,Units,0.917999983,0.921000004,0.921000004
A,Annual,ARG,Argentina,WB_HCI_NOSTU,Fraction of Children Under 5 Not Stunted,M,Male,U,Unitless,WB_HCI,Human Capital Index (HCI),0,Units,0.917999983,0.921000004,0.921000004
A,Annual,ARG,Argentina,WB_HCI_NOSTU,Fraction of Children Under 5 Not Stunted,_T,Total,U,Unitless,WB_HCI,Human Capital Index (HCI),0,Units,0.917999983,0.921000004,0.921000004
A,Annual,ARG,Argentina,WB_HCI_PSURV,Probability of Survival to Age 5,F,Female,U,Unitless,WB_HCI,Human Capital Index (HCI),0,Units,0.987052739,0.990525246,0.990962863
A,Annual,ARG,Argentina,WB_HCI_PSURV,Probability of Survival to Age 5,M,Male,U,Unitless,WB_HCI,Human Capital Index (HCI),0,Units,0.984135449,0.988674402,0.989193559
A,Annual,ARG,Argentina,WB_HCI_PSURV,Probability of Survival to Age 5,_T,Total,U,Unitless,WB_HCI,Human Capital Index (HCI),0,Units,0.985559583,0.989577353,0.990055025
A,Annual,ARG,Argentina,WB_HCI_TEST,Harmonized Test Scores,F,Female,SCORE,Score,WB_HCI,Human Capital Index (HCI),0,Units,414.1817627,420.9333496,406.4526672
A,Annual,ARG,Argentina,WB_HCI_TEST,Harmonized Test Scores,M,Male,SCORE,Score,WB_HCI,Human Capital Index (HCI),0,Units,402.9345093,427.1090393,409.9423828
A,Annual,ARG,Argentina,WB_HCI_TEST,Harmonized Test Scores,_T,Total,SCORE,Score,WB_HCI,Human Capital Index (HCI),0,Units,408.9732361,424.0808105,408.1726379
